구분,상호명,소재지,객실수,연락처,비고,데이터기준일자
관광호텔업,(주)호텔하니크라운,제주특별자치도 제주시 삼성로 10  ,61,064-758-4200,특이사항없음,2022-11-22
관광호텔업,글래드호텔앤리조트㈜ 메종글래드제주,제주특별자치도 제주시 노연로 80 ,513,064-747-5000,특이사항없음,2022-11-22
관광호텔업,제주썬호텔,제주특별자치도 제주시 삼무로 67   ,203,064-741-8000,특이사항없음,2022-11-22
관광호텔업,제주로얄호텔,제주특별자치도 제주시 신대로12길 45 ,126,064-743-2222,특이사항없음,2022-11-22
관광호텔업,제주팔레스호텔,제주특별자치도 제주시 탑동로 9,94,064-753-8811,특이사항없음,2022-11-22
관광호텔업,제주서울관광호텔,제주특별자치도 제주시 탑동로 5,108,064-752-2211,휴업기간(2019-01-07~2025-12-31),2022-11-22
관광호텔업,펄호텔 제주,제주특별자치도 제주시 신대로20길 49  ,88,064-742-8871,특이사항없음,2022-11-22
관광호텔업,제주아일랜드호텔리조트,제주특별자치도 제주시 애월읍평화로 2477,101,064-799-8222,휴업기간(2021-12-23~2026-12-31),2022-11-22
관광호텔업,제주오리엔탈호텔,제주특별자치도 제주시 탑동로 47,321,064-752-8222,특이사항없음,2022-11-22
관광호텔업,삼해인관광호텔,제주특별자치도 제주시 도령로 108  ,86,064-742-5311,특이사항없음,2022-11-22
관광호텔업,호텔 스카이파크,제주특별자치도 제주시 삼무로 48,147,064-797-0000,특이사항없음,2022-11-22
관광호텔업,제주퍼시픽호텔,제주특별자치도 제주시 서사로 20   ,177,064-758-2500,특이사항없음,2022-11-22
관광호텔업,스타즈호텔 제주 로베로,제주특별자치도 제주시 관덕로 26 ,121,064-757-7111,특이사항없음,2022-11-22
관광호텔업,메이더호텔,제주특별자치도 제주시 구좌읍 일주동로 1626,54,064-766-8888,특이사항없음,2022-11-22
관광호텔업,금룡관광호텔,제주특별자치도 제주시 삼무로 79,70,064-747-8885,휴업기간(2022-07-01~2024-12-31),2022-11-22
관광호텔업,코쿤애월,제주특별자치도 제주시 애월읍 중엄3길 50,30,064-744-8006,특이사항없음,2022-11-22
관광호텔업,라마다프라자제주호텔,제주특별자치도 제주시 탑동로 66  ,400,064-729-8100,특이사항없음,2022-11-22
관광호텔업,오션그랜드호텔,제주특별자치도 제주시 조천읍 조함해안로 490,74,064-783-0007,특이사항없음,2022-11-22
관광호텔업,(주)블랙스톤리조트,제주특별자치도 제주시 한림읍 한창로 925-122,36,064-795-2126,특이사항없음,2022-11-22
관광호텔업,호텔라온제주,제주특별자치도 제주시 한림읍 금능남로 127,51,064-796-7730,특이사항없음,2022-11-22
관광호텔업,파크사이드관광호텔,제주특별자치도 제주시 도령로 126,70,064-746-4545,특이사항없음,2022-11-22
관광호텔업,애플관광호텔,제주특별자치도 제주시 동광로 45 ,40,064-725-1552,특이사항없음,2022-11-22
관광호텔업,관광호텔 더레드,제주특별자치도 제주시 동광로6길 10 ,59,064-725-7252,특이사항없음,2022-11-22
관광호텔업,엠버시티호텔,제주특별자치도 제주시 노연로 13,51,064-711-8500,특이사항없음,2022-11-22
관광호텔업,퓨어스테이호텔,제주특별자치도 제주시 신대로 68,43,064-742-2714,특이사항없음,2022-11-22
관광호텔업,올레관광호텔,제주특별자치도 제주시 서광로 254,71,064-723-2727,특이사항없음,2022-11-22
관광호텔업,로긴호텔,제주특별자치도 제주시 서해안로 442-9,31,064-712-2377,특이사항없음,2022-11-22
관광호텔업,엠버호텔,제주특별자치도 제주시 삼무로 12,67,064-745-7459,특이사항없음,2022-11-22
관광호텔업,해호텔,제주특별자치도 제주시 서해안로 526,32,064-742-4356,특이사항없음,2022-11-22
관광호텔업,롯데시티호텔 제주,제주특별자치도 제주시 도령로 83,262,064-730-1071,특이사항없음,2022-11-22
관광호텔업,엠버호텔 센트럴,제주특별자치도 제주시 노연로 24,130,064-805-8688,특이사항없음,2022-11-22
관광호텔업,씨앤제이관광호텔,제주특별자치도 제주시 광양8길 24,36,064-755-7413,특이사항없음,2022-11-22
관광호텔업,제주미주호텔,제주특별자치도 제주시 신대로 60,76,064-805-4288,특이사항없음,2022-11-22
관광호텔업,호텔 컬리넌,제주특별자치도 제주시 사장1길 26,59,064-743-6500,특이사항없음,2022-11-22
관광호텔업,골든파크관광호텔,제주특별자치도 제주시 서광로2길 9,38,064-752-5820,특이사항없음,2022-11-22
관광호텔업,오라관광호텔,제주특별자치도 제주시 연북로 217,61,064-713-6261,특이사항없음,2022-11-22
관광호텔업,씨앤관광호텔,제주특별자치도 제주시 일주서로 7490,60,064-711-7400,특이사항없음,2022-11-22
관광호텔업,팜파스호텔 제주,제주특별자치도 제주시 서해안로 368-3,85,064-798-9000,특이사항없음,2022-11-22
관광호텔업,스탠포드호텔앤리조트 제주A,제주특별자치도 제주시 애월읍 애월해안로 408,42,064-799-1671,특이사항없음,2022-11-22
관광호텔업,스탠포드호텔앤리조트 제주,제주특별자치도 제주시 애월읍 애월해안로 406,38,064-799-1671,특이사항없음,2022-11-22
관광호텔업,그라벨 호텔,제주특별자치도 제주시 일주서로 7316,141,064-740-8010,특이사항없음,2022-11-22
관광호텔업,HOTEL LEO,제주특별자치도 제주시 삼무로 14,95,064-754-7000,특이사항없음,2022-11-22
관광호텔업,아이진호텔,제주특별자치도 제주시 신대로22길 4,75,064-745-0700,특이사항없음,2022-11-22
관광호텔업,아스타호텔,제주특별자치도 제주시 서사로 129,130,064-710-1100,특이사항없음,2022-11-22
관광호텔업,심스호텔,제주특별자치도 제주시 임항로 249,92,064-750-8988,특이사항없음,2022-11-22
관광호텔업,케이 관광호텔,제주특별자치도 제주시 연동3길 10,41,064-743-2123,특이사항없음,2022-11-22
관광호텔업,애월비치호텔,제주특별자치도 제주시 애월읍 애월해안로 554-10,94,064-799-3544,특이사항없음,2022-11-22
관광호텔업,유니호텔,제주특별자치도 제주시 애월읍 애월해안로 656,62,064-741-5000,특이사항없음,2022-11-22
관광호텔업,사하라 호텔,제주특별자치도 제주시 서광로 265,37,064-721-0707,특이사항없음,2022-11-22
관광호텔업,신라스테이제주,제주특별자치도 제주시 노연로 100,301,064-717-9000,특이사항없음,2022-11-22
관광호텔업,제니아관광호텔,제주특별자치도 제주시 은남1길 25,67,064-797-9000,특이사항없음,2022-11-22
관광호텔업,제주갤럭시호텔,제주특별자치도 제주시 남성로 33,85,064-750-3355,특이사항없음,2022-11-22
관광호텔업,베니키아호텔제주,제주특별자치도 제주시 애월읍 애월해안로 554-6,88,064-799-3544,특이사항없음,2022-11-22
관광호텔업,해마 호텔,제주특별자치도 제주시 삼무로 28,89,064-766-4000,특이사항없음,2022-11-22
관광호텔업,에스호텔,제주특별자치도 제주시 오일장중길 26,88,064-749-9928,특이사항없음,2022-11-22
관광호텔업,블랙샌즈관광호텔,제주특별자치도 제주시 선사로 8,78,064-740-0888,특이사항없음,2022-11-22
관광호텔업,호텔더원,제주특별자치도 제주시 사장3길 33,180,064-798-0001,특이사항없음,2022-11-22
관광호텔업,제주인관광호텔,제주특별자치도 제주시 신산마을길 20,79,064-741-1100,특이사항없음,2022-11-22
관광호텔업,제주코아관광호텔,제주특별자치도 제주시 신대로 148,65,064-744-6600,특이사항없음,2022-11-22
관광호텔업,하버호텔,제주특별자치도 제주시 임항로 260,30,064-754-6000,특이사항없음,2022-11-22
관광호텔업,탐라스테이,제주특별자치도 제주시 애월읍 애월해안로 881,116,064-742-8848,특이사항없음,2022-11-22
관광호텔업,스카이힐비즈니스 관광호텔,제주특별자치도 제주시 서광로24길 1,78,064-751-5177,특이사항없음,2022-11-22
관광호텔업,슬림관광호텔,제주특별자치도 제주시 서광로 292-1,42,064-722-1551,특이사항없음,2022-11-22
관광호텔업,인덱스 제이드림호텔,제주특별자치도 제주시 은남1길 40,77,064-797-6900,특이사항없음,2022-11-22
관광호텔업,어반아일랜드호텔,제주특별자치도 제주시 삼무로 76,70,064-740-1900,특이사항없음,2022-11-22
관광호텔업,더스테이센추리호텔,제주특별자치도 제주시 애월읍 일주서로 7113,91,064-800-4000,특이사항없음,2022-11-22
관광호텔업,오드리 인,제주특별자치도 제주시 서해안로 100,82,064-710-8000,특이사항없음,2022-11-22
관광호텔업,스위트캐슬,제주특별자치도 제주시 조천읍 신북로 443,90,064-731-3700,특이사항없음,2022-11-22
관광호텔업,호텔난타,제주특별자치도 제주시 선돌목동길 56-26  ,204,064-727-0603,특이사항없음,2022-11-22
관광호텔업,(주)호텔샬롬,제주특별자치도 제주시 동광로 34,176,064-720-7700,특이사항없음,2022-11-22
관광호텔업,제주레슬리호텔,제주특별자치도 제주시 광평길 3,96,064-713-6800,특이사항없음,2022-11-22
관광호텔업,제주노블레스 관광호텔,제주특별자치도 제주시 월성로4길 19,150,064-748-7161,특이사항없음,2022-11-22
관광호텔업,호텔 시리우스,제주특별자치도 제주시 도령로 133,280,,특이사항없음,2022-11-22
관광호텔업,다인오세아노호텔,제주특별자치도 제주시 애월읍 애월해안로 394,83,064-799-2600,특이사항없음,2022-11-22
관광호텔업,시티홀관광호텔제주,제주특별자치도 제주시 동광로4길 9-4,30,064-726-5678,특이사항없음,2022-11-22
관광호텔업,그랜드하얏트 제주,제주특별자치도 제주시 노연로 12,750,064-795-6336,특이사항없음,2022-11-22
관광호텔업,아루미호텔 협재점,제주특별자치도 제주시 한림읍 한림로 545,55,064-738-9780,특이사항없음,2022-11-22
관광호텔업,에코랜드 호텔,제주특별자치도 제주시 조천읍 남조로 1982,200,064-802-8054,특이사항없음,2022-11-22
관광호텔업,(주)호텔신라 제주신라,제주특별자치도 서귀포시 중문관광로72번길 75 ,429,064-735-5114,특이사항없음,2022-11-22
관광호텔업,㈜호텔롯데 롯데호텔 제주,제주특별자치도 서귀포시 중문관광로72번길 35 ,500,064-731-1000,특이사항없음,2022-11-22
관광호텔업,파르나스 호텔 제주,제주특별자치도 서귀포시 중문관광로72번길 100 ,307,064-733-1234,특이사항없음,2022-11-22
관광호텔업,㈜교원프라퍼티 스위트호텔 제주,제주특별자치도 서귀포시 중문관광로72번길 67 ,90,064-738-3800,특이사항없음,2022-11-22
관광호텔업,서귀포KAL호텔,제주특별자치도 서귀포시 칠십리로 242  ,225,064-733-2001,특이사항없음,2022-11-22
관광호텔업,해비치호텔,제주특별자치도 서귀포시 표선면 민속해안로 537,288,064-780-8000,특이사항없음,2022-11-22
관광호텔업,WE호텔,제주특별자치도 서귀포시 1100로 453-95,86,064-730-1200,특이사항없음,2022-11-22
관광호텔업,CASALOMA HOTEL,제주특별자치도 서귀포시 태평로 347 ,108,064-733-2121,특이사항없음,2022-11-22
관광호텔업,헤이서귀포,제주특별자치도 서귀포시 태평로 363  ,134,064-763-0024,특이사항없음,2022-11-22
관광호텔업,호텔 더 그랑 서귀포,제주특별자치도 서귀포시 중정로 16,72,064-732-8311,특이사항없음,2022-11-22
관광호텔업,호텔굿인 서귀포,제주특별자치도 서귀포시 태평로439번길 14 ,41,064-767-9600,특이사항없음,2022-11-22
관광호텔업,머큐어 앰배서더 제주,제주특별자치도 서귀포시 안덕면 한창로 365,72,064-793-1000,특이사항없음,2022-11-22
관광호텔업,부영CC관광호텔,제주특별자치도 서귀포시 남원읍 남조로 960,74,064-766-5500,특이사항없음,2022-11-22
관광호텔업,파인힐호텔,제주특별자치도 서귀포시 부두로 44,55,064-762-5988,특이사항없음,2022-11-22
관광호텔업,호텔랑주,제주특별자치도 서귀포시 김정문화로27번길 23-3,31,064-739-0012,특이사항없음,2022-11-22
관광호텔업,호텔빠레브 주식회사,제주특별자치도 서귀포시 김정문화로 15,204,064-735-8899,특이사항없음,2022-11-22
관광호텔업,호텔 스카브로,제주특별자치도 서귀포시 예래해안로 15,41,064-738-1551,특이사항없음,2022-11-22
관광호텔업,아리아호텔,제주특별자치도 서귀포시 중문관광로 23-1,51,064-738-8981,특이사항없음,2022-11-22
관광호텔업,제주항공우주호텔,제주특별자치도 서귀포시 안덕면 녹차분재로 216,110,064-798-5500,특이사항없음,2022-11-22
관광호텔업,㈜조선호텔앤리조트 그랜드조선 제주,제주특별자치도 서귀포시 중문관광로72번길 60,248,064-735-8900,특이사항없음,2022-11-22
관광호텔업,호텔 캘리포니아,제주특별자치도 서귀포시 김정문화로 27번길 14-4,64,064-738-9902,특이사항없음,2022-11-22
관광호텔업,풍경호텔,제주특별자치도 서귀포시 남성중로 147,48,064-733-3355,특이사항없음,2022-11-22
관광호텔업,호텔화인,제주특별자치도 서귀포시 칠십리로 87,96,064-801-8888,특이사항없음,2022-11-22
관광호텔업,베니키아 중문호텔,제주특별자치도 서귀포시 천제연로 166,45,064-802-8888,특이사항없음,2022-11-22
관광호텔업,제주 부영호텔 & 리조트,제주특별자치도 서귀포시 중문관광로 222,262,064-731-5500,특이사항없음,2022-11-22
관광호텔업,파크선샤인제주관광호텔,제주특별자치도 서귀포시 남성중로 135,105,064-766-1000,특이사항없음,2022-11-22
관광호텔업,비케이호텔인제주,제주특별자치도 서귀포시 칠십리로91번길 12,55,064-763-0779,특이사항없음,2022-11-22
관광호텔업,블루마운틴관광호텔,제주특별자치도 서귀포시 성산읍 일출로 297,38,064-731-8888,특이사항없음,2022-11-22
관광호텔업,오션블루호텔,제주특별자치도 서귀포시 이어도로 67,30,064-722-9991,특이사항없음,2022-11-22
관광호텔업,제주리시온관광호텔,제주특별자치도 서귀포시 표선면 표선동서로 263  ,77,064-787-8841,특이사항없음,2022-11-22
관광호텔업,유어스호텔,제주특별자치도 서귀포시 천제연로 178번길 21,83,064-733-7500,특이사항없음,2022-11-22
관광호텔업,그랜드메르호텔 제주,제주특별자치도 서귀포시 논짓물로 45,94,064-801-7000,특이사항없음,2022-11-22
관광호텔업,제주스테이,제주특별자치도 서귀포시 성산읍 신고로 11,80,064-783-8877,특이사항없음,2022-11-22
관광호텔업,히든클리프호텔&네이쳐,제주특별자치도 서귀포시 예래해안로 542,250,064-752-7777,특이사항없음,2022-11-22
관광호텔업,성산썬라이즈호텔,제주특별자치도 서귀포시 성산읍 성산등용로17번길 35,47,064-782-6650,특이사항없음,2022-11-22
관광호텔업,호텔더본제주,제주특별자치도 서귀포시 색달로 18,139,064-766-8988,특이사항없음,2022-11-22
관광호텔업,playce(플레이스),제주특별자치도 서귀포시 성산읍 동류암로 20,202,064-766-3050,특이사항없음,2022-11-22
관광호텔업,제주 티라 호텔,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 41,30,064-786-5353,특이사항없음,2022-11-22
관광호텔업,제주신화월드 호텔 앤 리조트,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,"1,720",064-908-6000,특이사항없음,2022-11-22
관광호텔업,호텔 아루미,제주특별자치도 서귀포시 색달중앙로 38,78,064-738-9780,특이사항없음,2022-11-22
관광호텔업,골드윈호텔&스위트,제주특별자치도 서귀포시 이어도로 1032,51,064-801-5000,특이사항없음,2022-11-22
한국전통호텔업,씨에스개발㈜ 씨에스호텔앤리조트,제주특별자치도 서귀포시 중문관광로 198   ,26,064-735-3000,특이사항없음,2022-11-22
가족호텔업,꼬뜨도르가족호텔,제주특별자치도 제주시 구좌읍 일주동로 1724 ,30,064-782-0800,특이사항없음,2022-11-22
가족호텔업,그림리조트,제주특별자치도 제주시 서해안로 620-1   ,30,064-742-2080,특이사항없음,2022-11-22
가족호텔업,다인리조트,제주특별자치도 제주시 애월읍 애월해안로 400-9 ,43,064-799-2600,특이사항없음,2022-11-22
가족호텔업,올레리조트,제주특별자치도 제주시 애월읍 부룡수길 33,53,064-799-7770,특이사항없음,2022-11-22
가족호텔업,베스트웨스턴 제주호텔,제주특별자치도 제주시 도령로 27  ,350,064-797-6000,특이사항없음,2022-11-22
가족호텔업,다인리조트 투(2차),제주특별자치도 제주시 애월읍 애월해안로 400-9,39,064-799-2600,특이사항없음,2022-11-22
가족호텔업,㈜아모렉스리조트,제주특별자치도 제주시 서해안로 216 ,173,064-711-0125,특이사항없음,2022-11-22
가족호텔업,제주나인리조트,제주특별자치도 제주시 해안마을북길 14-5,30,064-722-2222,특이사항없음,2022-11-22
가족호텔업,오투힐리조트(구. (주)하바나호텔앤리조트),제주특별자치도 제주시 구좌읍 해맞이해안로 1590-6 ,36,,특이사항없음,2022-11-22
가족호텔업,부띠끄호텔빌라드애월,제주특별자치도 제주시 애월읍 애월해안로 516-7,53,064-720-9000,특이사항없음,2022-11-22
가족호텔업,로긴리조트,제주특별자치도 제주시 서해안로 442-11  ,31,064-723-3333,특이사항없음,2022-11-22
가족호텔업,블루하와이리조트,제주특별자치도 제주시 한림읍 한림로 77,86,064-773-0800,특이사항없음,2022-11-22
가족호텔업,위플 스테이(구.제주에어포트호텔),제주특별자치도 제주시 도령로 102,64,064-745-9555,특이사항없음,2022-11-22
가족호텔업,오션패밀리호텔 스토리,제주특별자치도 제주시 일주서로 7531,30,064-712-3900,특이사항없음,2022-11-22
가족호텔업,하이제주호텔(구.홍익제주호텔),제주특별자치도 제주시 한림읍 일주서로 5125,96,064-723-5801,특이사항없음,2022-11-22
가족호텔업,호텔 펄리(구. ㈜호텔샹그릴라),제주특별자치도 제주시 노형로 79  ,124,064-726-0041,특이사항없음,2022-11-22
가족호텔업,오로라호텔(구.아인피플 호텔),제주특별자치도 제주시 논세길 51,51,064-748-1700,특이사항없음,2022-11-22
가족호텔업,샹그릴라호텔,제주특별자치도 제주시 해안마을북길 14-6,198,064-743-8098,특이사항없음,2022-11-22
가족호텔업,에코그린리조트(구. 에코패밀리호텔),제주특별자치도 제주시 한림읍 귀덕6길 94,90,064-796-8333,특이사항없음,2022-11-22
가족호텔업,이화호텔,제주특별자치도 제주시 도령로 155,64,064-745-8188,특이사항없음,2022-11-22
가족호텔업,마레보가족호텔,제주특별자치도 제주시 애월읍 신엄안3길 135,95,064-799-2090,특이사항없음,2022-11-22
